Date,Close
1/2/2014 16:00:00,51.98
1/3/2014 16:00:00,52.3
1/6/2014 16:00:00,50.39
1/7/2014 16:00:00,50.49
1/8/2014 16:00:00,50.36
1/9/2014 16:00:00,51.22
1/10/2014 16:00:00,50.9
1/13/2014 16:00:00,49.83
1/14/2014 16:00:00,50.6
1/15/2014 16:00:00,50.11
1/16/2014 16:00:00,50.5
1/17/2014 16:00:00,50.06
1/21/2014 16:00:00,50
1/22/2014 16:00:00,49.08
1/23/2014 16:00:00,48.87
1/24/2014 16:00:00,47.79
1/27/2014 16:00:00,46.83
1/28/2014 16:00:00,47.69
1/29/2014 16:00:00,47.61
1/30/2014 16:00:00,48.31
1/31/2014 16:00:00,49.23
2/3/2014 16:00:00,47.35
2/4/2014 16:00:00,47.95
2/5/2014 16:00:00,47.73
2/6/2014 16:00:00,47.93
2/7/2014 16:00:00,48.89
2/10/2014 16:00:00,49.55
2/11/2014 16:00:00,49.66
2/12/2014 16:00:00,50.56
2/13/2014 16:00:00,50.35
2/14/2014 16:00:00,50.73
2/18/2014 16:00:00,51.46
2/19/2014 16:00:00,51.19
2/20/2014 16:00:00,51.86
2/21/2014 16:00:00,51.04
2/24/2014 16:00:00,50.85
2/25/2014 16:00:00,50.72
2/26/2014 16:00:00,50.74
2/27/2014 16:00:00,50.91
2/28/2014 16:00:00,50.91
3/3/2014 16:00:00,50.09
3/4/2014 16:00:00,51.59
3/5/2014 16:00:00,51.7
3/6/2014 16:00:00,52.04
3/7/2014 16:00:00,51.46
3/10/2014 16:00:00,51.66
3/11/2014 16:00:00,51.75
3/12/2014 16:00:00,51.64
3/13/2014 16:00:00,51.32
3/14/2014 16:00:00,51.21
3/17/2014 16:00:00,51.98
3/18/2014 16:00:00,53.1
3/19/2014 16:00:00,53.11
3/20/2014 16:00:00,53.68
3/21/2014 16:00:00,53.46
3/24/2014 16:00:00,51.36
3/25/2014 16:00:00,51.69
3/26/2014 16:00:00,51.5
3/27/2014 16:00:00,51.66
3/28/2014 16:00:00,50.98
3/31/2014 16:00:00,51.4
4/1/2014 16:00:00,52.1
4/2/2014 16:00:00,53.34
4/3/2014 16:00:00,53.5
4/4/2014 16:00:00,52.2
4/7/2014 16:00:00,50.62
4/8/2014 16:00:00,49.1
4/9/2014 16:00:00,50.63
4/10/2014 16:00:00,47.35
4/11/2014 16:00:00,46.46
4/14/2014 16:00:00,46.83
4/15/2014 16:00:00,47.86
4/16/2014 16:00:00,48.12
4/17/2014 16:00:00,48.55
4/21/2014 16:00:00,49.43
4/22/2014 16:00:00,50.01
4/23/2014 16:00:00,50.14
4/24/2014 16:00:00,49.32
4/25/2014 16:00:00,49.14
4/28/2014 16:00:00,50.87
4/29/2014 16:00:00,51.37
4/30/2014 16:00:00,52.08
5/1/2014 16:00:00,51.61
5/2/2014 16:00:00,51.18
5/5/2014 16:00:00,51.36
5/6/2014 16:00:00,50.91
5/7/2014 16:00:00,52.79
5/8/2014 16:00:00,52.15
5/9/2014 16:00:00,52.26
5/12/2014 16:00:00,52.37
5/13/2014 16:00:00,52.2
5/14/2014 16:00:00,52.87
5/15/2014 16:00:00,52.69
5/16/2014 16:00:00,52.93
5/19/2014 16:00:00,54.11
5/20/2014 16:00:00,53.54
5/21/2014 16:00:00,53.27
5/22/2014 16:00:00,53.63
5/23/2014 16:00:00,53.95
5/27/2014 16:00:00,53.99
5/28/2014 16:00:00,54.07
5/29/2014 16:00:00,54.03
5/30/2014 16:00:00,54.33
6/2/2014 16:00:00,54.15
6/3/2014 16:00:00,54.37
6/4/2014 16:00:00,54.58
6/5/2014 16:00:00,55.3
6/6/2014 16:00:00,55.1
6/9/2014 16:00:00,53.84
