Date,Close
1/2/2014 17:00:00,50.06
1/3/2014 17:00:00,50.58
1/7/2014 17:00:00,50.06
1/8/2014 17:00:00,49.71
1/9/2014 17:00:00,49.01
1/10/2014 17:00:00,48.84
1/13/2014 17:00:00,48.66
1/14/2014 17:00:00,49.71
1/15/2014 17:00:00,50.58
1/16/2014 17:00:00,51.11
1/17/2014 17:00:00,51.11
1/20/2014 17:00:00,49.54
1/21/2014 17:00:00,50.93
1/22/2014 17:00:00,50.93
1/23/2014 17:00:00,53.02
1/24/2014 17:00:00,28.67
1/27/2014 17:00:00,26.93
1/28/2014 17:00:00,25.33
1/29/2014 17:00:00,24.14
1/30/2014 17:00:00,22.95
1/31/2014 17:00:00,24.07
2/3/2014 17:00:00,22.54
2/4/2014 17:00:00,23.72
2/5/2014 17:00:00,23.93
2/6/2014 17:00:00,25.4
2/7/2014 17:00:00,24.07
2/10/2014 17:00:00,24.35
2/11/2014 17:00:00,26.02
2/12/2014 17:00:00,24.56
2/13/2014 17:00:00,24.28
2/14/2014 17:00:00,25.33
2/17/2014 17:00:00,25.26
2/18/2014 17:00:00,25.47
2/20/2014 17:00:00,25.74
2/21/2014 17:00:00,26.09
2/24/2014 17:00:00,26.93
2/25/2014 17:00:00,27.14
2/26/2014 17:00:00,27.91
2/27/2014 17:00:00,27.56
2/28/2014 17:00:00,27.56
3/3/2014 17:00:00,25.47
3/4/2014 17:00:00,26.16
3/5/2014 17:00:00,25.33
3/6/2014 17:00:00,24.98
3/7/2014 17:00:00,24.77
3/10/2014 17:00:00,24.7
3/11/2014 17:00:00,24.35
3/12/2014 17:00:00,24.21
3/13/2014 17:00:00,23.23
3/14/2014 17:00:00,21.91
3/17/2014 17:00:00,21.63
3/18/2014 17:00:00,22.4
3/19/2014 17:00:00,21.84
3/20/2014 17:00:00,22.12
3/21/2014 17:00:00,21.7
3/24/2014 17:00:00,20.09
3/25/2014 17:00:00,19.81
3/26/2014 17:00:00,19.61
3/27/2014 17:00:00,19.26
3/28/2014 17:00:00,19.95
3/31/2014 17:00:00,20.09
4/1/2014 17:00:00,24
4/2/2014 17:00:00,24.49
4/3/2014 17:00:00,24.63
4/4/2014 17:00:00,24.91
4/7/2014 17:00:00,23.72
4/8/2014 17:00:00,24
4/9/2014 17:00:00,24.56
4/10/2014 17:00:00,24.49
4/11/2014 17:00:00,23.86
4/14/2014 17:00:00,22.74
4/15/2014 17:00:00,22.47
4/16/2014 17:00:00,22.61
4/17/2014 17:00:00,22.81
4/22/2014 17:00:00,22.61
4/23/2014 17:00:00,24.84
4/24/2014 17:00:00,23.72
4/25/2014 17:00:00,23.3
4/28/2014 17:00:00,23.86
4/29/2014 17:00:00,24
4/30/2014 17:00:00,24
5/2/2014 17:00:00,24.42
5/5/2014 17:00:00,24.35
5/6/2014 17:00:00,25.19
5/7/2014 17:00:00,24.77
5/8/2014 17:00:00,25.12
5/9/2014 17:00:00,24.98
5/12/2014 17:00:00,25.12
5/13/2014 17:00:00,24.77
5/14/2014 17:00:00,24.77
5/15/2014 17:00:00,25.47
5/16/2014 17:00:00,24.7
5/19/2014 17:00:00,25.67
5/20/2014 17:00:00,25.33
5/21/2014 17:00:00,25.54
5/22/2014 17:00:00,24.91
5/23/2014 17:00:00,24.77
5/26/2014 17:00:00,24.21
5/27/2014 17:00:00,23.16
5/28/2014 17:00:00,23.86
5/30/2014 17:00:00,23.51
6/2/2014 17:00:00,23.72
6/3/2014 17:00:00,23.58
6/4/2014 17:00:00,23.23
6/5/2014 17:00:00,22.67
6/9/2014 17:00:00,23.72
6/10/2014 17:00:00,24
6/11/2014 17:00:00,24.14
6/12/2014 17:00:00,23.72
6/13/2014 17:00:00,22.74
6/16/2014 17:00:00,21.98
6/17/2014 17:00:00,21.63
6/18/2014 17:00:00,21
6/19/2014 17:00:00,20.23
6/23/2014 17:00:00,21.14
6/24/2014 17:00:00,20.44
6/25/2014 17:00:00,20.16
6/26/2014 17:00:00,20.58
6/27/2014 17:00:00,20.3
6/30/2014 17:00:00,20.65
7/1/2014 17:00:00,20.23
7/2/2014 17:00:00,20.09
7/3/2014 17:00:00,21
7/4/2014 17:00:00,20.93
7/7/2014 17:00:00,20.44
7/8/2014 17:00:00,20.37
7/9/2014 17:00:00,20.44
7/10/2014 17:00:00,19.81
7/11/2014 17:00:00,19.74
7/14/2014 17:00:00,20.3
7/15/2014 17:00:00,21
7/16/2014 17:00:00,20.65
7/17/2014 17:00:00,20.58
7/18/2014 17:00:00,20.23
7/21/2014 17:00:00,20.23
7/22/2014 17:00:00,20.23
7/23/2014 17:00:00,20.3
7/24/2014 17:00:00,20.79
7/25/2014 17:00:00,21
